brapa_gene	arabidopsis_agi	identity_pct	evalue	bitscore
Bra006545	AT5G20170	86	0	1071
Bra006546	AT5G20180	82.5	9.07e-60	177
Bra006549	AT5G20240	92.3	1.81e-130	365
Bra006551	AT5G20270	86.7	4.62e-213	583
Bra006554	AT5G20310	74	1.4e-177	499
Bra006556	AT5G11250	66.9	0	1157
Bra006557	AT5G20360	66.9	1.92e-297	831
Bra006558	AT5G20370	52.5	6.87e-44	142
Bra006561	AT5G20490	95.3	0	2515
Bra006563	AT5G20540	87.5	9.46e-235	643
Bra006565	AT5G20570	79.6	4.41e-79	228
Bra006566	AT5G20580	93.7	3.29e-219	601
Bra006570	AT5G20670	91.9	1.23e-91	262
Bra006572	AT5G20720	92.9	1.58e-160	444
Bra006575	AT5G20790	68.9	5.4e-85	248
Bra006576	AT5G20810	80.7	1.01e-97	281
Bra006578	AT5G20830	93.9	0	1531
Bra006579	AT5G20840	88.7	0	1422
Bra006580	AT5G20850	99.1	3.36e-243	661
Bra006585	AT5G20910	89.5	5.54e-192	533
Bra006586	AT5G20935	86.3	3.22e-65	192
Bra006587	AT5G20940	83.5	0	1053
Bra006588	AT5G20970	74	1.7e-118	337
Bra006589	AT5G20980	91.7	0	1460
Bra006590	AT5G20990	90.3	0	1169
Bra006591	AT5G21010	85.9	3.47e-245	672
Bra006592	AT5G21050	81.1	1.66e-198	548
Bra006596	AT5G21900	59.9	5.02e-184	528
Bra006597	AT5G21920	87.1	4.62e-152	423
Bra006602	AT5G21990	84.2	1.93e-249	694
Bra006603	AT5G22000	80.8	5.97e-191	531
Bra006606	AT5G22040	80.4	5.08e-120	344
Bra006607	AT5G22050	89.3	8.4e-204	558
Bra006609	AT5G22070	86	3.14e-235	642
Bra006612	AT5G22120	73.1	2.89e-174	489
Bra006617	AT5G22270	63.7	2.63e-29	100
Bra006622	AT5G22340	82.7	1.77e-166	466
Bra006628	AT5G22480	88.9	0	879
Bra006631	AT5G22670	52.9	2.81e-140	410
Bra006634	AT5G22750	86.5	0	1765
Bra006638	AT5G22791	61.8	5.69e-164	463
Bra006640	AT5G22910	74.5	0	1190
Bra006641	AT5G22920	91.4	4.17e-198	543
Bra006642	AT5G22930	76.8	3.4e-109	313
Bra006645	AT5G22950	94.3	1.71e-99	288
Bra006649	AT5G60720	84.2	0	1071
Bra006650	AT5G60660	92.9	1.31e-190	523
Bra006655	AT5G60530	85.9	2.59e-211	588
Bra006656	AT5G60490	87.6	7.7e-120	343
Bra006657	AT5G60480	69.3	1.09e-86	253
Bra006659	AT5G60460	89.9	2.09e-45	142
Bra006664	AT3G01280	87	2.92e-172	476
Bra006667	AT5G60335	83.1	1.98e-95	273
Bra006668	AT5G60320	81.8	0	1105
Bra006672	AT5G60230	87.2	1.8e-154	429
Bra006673	AT5G60220	84.8	4.81e-174	483
Bra006676	AT5G60190	81.5	5.7e-138	385
Bra006677	AT5G60170	76.3	0	1409
Bra006680	AT5G60070	82.5	1.35e-238	666
Bra006681	AT5G60060	75.5	3.41e-188	524
Bra006682	AT5G60030	51.4	3.39e-25	98.6
Bra006683	AT5G60020	92	0	1092
Bra006688	AT5G59870	92.7	8.08e-87	249
Bra006692	AT5G59820	84.6	2.36e-73	216
Bra006698	AT5G59710	87.8	0	1006
Bra006702	AT5G59613	98.2	1.37e-37	118
Bra006713	AT5G59540	81.1	1.24e-225	619
Bra006716	AT5G59480	89.8	3.62e-183	504
Bra006721	AT5G59320	82.6	4.93e-65	192
Bra006722	AT5G59290	97.7	1.2e-249	678
Bra006723	AT1G35440	65.4	1.31e-114	328
Bra006726	AT5G59050	71.7	8.1e-140	396
Bra006729	AT5G59130	82.9	0	1200
Bra006730	AT5G59140	99	1.06e-66	194
Bra006738	AT5G58950	83.5	1.63e-314	856
Bra006740	AT5G58920	94.4	7.43e-112	314
Bra006741	AT5G58900	87.3	1.41e-183	506
Bra006742	AT5G58880	58	0	976
Bra006743	AT5G58860	91.8	0	968
Bra006744	AT5G58850	75.5	8.16e-222	614
Bra006745	AT5G58787	86.9	4.23e-154	427
Bra006748	AT5G58710	91.2	8.72e-133	370
Bra006749	AT5G58670	83.8	0	984
Bra006752	AT5G58580	78.7	3.68e-66	209
Bra006753	AT5G58575	72.1	1.66e-24	89.4
Bra006759	AT2G05970	55.5	1.21e-146	420
Bra006762	AT5G58520	81.3	0	966
Bra006764	AT5G37060	75.1	0	1304
Bra006765	AT5G18770	52.9	5.11e-137	402
Bra006767	AT5G58430	85.6	0	1049
Bra006774	AT5G58300	85.5	0	905
Bra006777	AT5G58260	83.7	8.34e-134	373
Bra006781	AT5G58150	72.4	1.37e-277	784
Bra006783	AT5G58110	88.2	3.12e-114	323
Bra006787	AT5G58030	99.5	2.26e-130	365
Bra006789	AT5G58003	74.6	2.35e-237	660
Bra006790	AT5G57990	66.8	0	979
Bra006791	AT5G57980	78.1	4.43e-116	328
Bra006792	AT5G57920	86.2	7.14e-76	225
Bra006794	AT5G57860	86	4.01e-52	157
Bra006795	AT5G57850	82.4	4.3e-216	595
Bra006797	AT5G57840	77.9	2.85e-256	702
Bra006803	AT5G57790	58.3	8.36e-53	166
Bra006804	AT5G57785	83.6	7.89e-36	115
Bra006805	AT5G57760	76	1.52e-37	119
Bra006806	AT5G57700	90.1	3.02e-225	616
Bra006807	AT5G57690	91.6	0	909
Bra006808	AT5G57685	81.1	7.46e-82	237
Bra006810	AT5G57625	87.4	2.24e-139	387
Bra006811	AT5G57620	90.7	1.07e-218	598
Bra006812	AT5G57610	81	0	1669
Bra006815	AT5G57520	92.7	1.72e-93	266
Bra006816	AT5G57500	93.1	2.5e-228	621
Bra006817	AT5G57490	88.3	1.69e-170	471
Bra006819	AT5G57460	92.9	0	1108
Bra006820	AT5G57450	78.7	4.5e-167	466
Bra006821	AT5G57410	91.1	2.81e-211	583
Bra006825	AT5G57330	92	1.32e-218	596
Bra006828	AT5G57280	80.3	6.2e-154	436
Bra006829	AT5G57260	82.2	1.12e-299	817
Bra006833	AT5G57100	89.6	6.29e-241	659
Bra006835	AT5G57040	86.4	9.38e-122	342
Bra006836	AT5G57035	87.2	0	1353
Bra006840	AT5G57000	74.3	2.49e-55	172
Bra006844	AT5G56920	57.1	4.9e-82	244
Bra006849	AT5G56880	67.5	1.58e-68	204
Bra006850	AT5G56870	91.7	0	1409
Bra006852	AT5G56850	61.4	7.76e-190	540
Bra006853	AT5G56840	74.3	7.94e-111	316
Bra006858	AT5G56750	90.7	2.12e-197	543
Bra006859	AT5G56740	88.9	2.79e-297	808
Bra006863	AT5G56660	79	1.1e-251	691
Bra006874	AT3G51760	82.9	8.2e-145	405
Bra006875	AT3G51770	88.1	0	1659
Bra006876	AT3G51780	80.4	8.62e-144	403
Bra006877	AT3G51790	89	3.18e-149	416
Bra006879	AT3G51840	88.8	2.77e-288	783
Bra006882	AT3G51895	91.6	0	1186
Bra006884	AT3G51940	55.5	4.99e-162	471
Bra006888	AT3G51970	70.8	3.33e-170	476
Bra006889	AT3G51980	85.2	3.37e-219	603
Bra006890	AT3G51990	89.5	1.43e-221	608
Bra006891	AT3G52040	84.4	2.41e-49	150
Bra006892	AT3G52050	78.5	5.96e-236	650
Bra006894	AT3G52070	70.7	2.1e-47	147
Bra006895	AT3G21640	89.3	2.13e-237	648
Bra006896	AT3G52090	74.3	1.23e-65	195
Bra006897	AT3G52100	76.3	0	1008
Bra006899	AT3G52110	71.8	4.84e-156	441
Bra006900	AT3G52120	82.6	2.12e-245	678
Bra006904	AT3G52150	82.7	6.24e-139	390
Bra006908	AT3G52180	84.2	2.16e-228	625
Bra006909	AT3G52190	91.2	1.01e-272	740
Bra006911	AT3G52210	85.3	2.45e-227	622
Bra006912	AT3G52220	86.3	6.15e-110	315
Bra006913	AT3G52230	64.2	3.7e-47	149
Bra006914	AT3G52240	62.6	3.85e-239	676
Bra006915	AT3G52250	71.3	0	2159
Bra006919	AT3G52360	84.1	1.75e-43	135
Bra006922	AT3G52430	66.8	8.15e-253	702
Bra006923	AT3G52440	81.9	8.34e-147	410
Bra006925	AT3G52450	92.6	1.03e-284	774
Bra006926	AT3G52460	72.4	1.84e-134	382
Bra006928	AT3G52480	75.1	1.54e-104	299
Bra006930	AT3G52540	63.3	4.09e-91	270
Bra006932	AT3G52550	54.4	1.72e-42	139
Bra006933	AT3G52560	86.6	1.01e-103	293
Bra006934	AT3G52570	85.7	2.43e-200	559
Bra006937	AT3G52610	80.4	1.71e-235	649
Bra006938	AT3G52660	77.3	5.63e-213	592
Bra006941	AT3G52710	74.4	7.1e-125	357
Bra006942	AT3G52720	82.3	5.47e-173	479
Bra006943	AT3G52740	82.9	1.11e-70	208
Bra006945	AT3G52750	87.2	2.65e-276	755
Bra006947	AT5G24240	84.3	0	964
Bra006948	AT3G52780	81.3	2.02e-273	744
Bra006949	AT3G52800	72.9	3.97e-85	247
Bra006951	AT3G52820	90.1	4.32e-305	826
Bra006953	AT3G52860	83.3	1.41e-65	196
Bra006954	AT3G52880	86.9	3.69e-283	771
Bra006956	AT3G52910	84.3	6.1e-180	504
Bra006959	AT3G52920	83.7	9.36e-81	236
Bra006964	AT5G44400	77.7	9.91e-309	843
Bra006966	AT3G53000	85.8	9.72e-197	540
Bra006967	AT3G53010	82.6	4.88e-166	461
Bra006970	AT3G53030	83.4	2.52e-302	830
Bra006973	AT3G53160	83.8	6.99e-297	809
Bra006974	AT3G53170	74.6	1.15e-139	411
Bra006975	AT3G53180	85.6	0	1454
Bra006977	AT3G53200	77.1	7.53e-135	379
Bra006980	AT3G53232	67.3	1.19e-21	78.2
Bra006981	AT3G53235	71.9	1.04e-25	91.3
Bra006984	AT3G53250	85.9	1.65e-80	233
Bra006988	AT3G53300	77.9	2.22e-286	783
Bra006990	AT3G53320	66.5	5.57e-206	583
Bra006991	AT3G53340	86.6	6.64e-95	272
Bra006992	AT3G53350	66.1	1.46e-151	433
Bra006993	AT3G53360	79.6	0	1241
Bra006997	AT3G53420	94.1	1.98e-196	538
Bra006999	AT3G53440	78	5.53e-107	317
Bra007002	AT3G53460	72.6	2.14e-139	398
Bra007003	AT3G53470	78.8	6.01e-66	196
Bra007004	AT3G53500	89.2	1.11e-130	372
Bra007008	AT3G53530	76.8	7.19e-124	352
Bra007013	AT3G53580	89.9	3.09e-243	663
Bra007015	AT3G53590	81.7	0	929
Bra007016	AT3G53620	93.1	7.53e-150	414
Bra007017	AT3G53630	84.2	1.48e-106	304
Bra007018	AT3G53650	93.4	1.48e-70	207
Bra007019	AT3G53670	71.4	4.19e-63	194
Bra007026	AT3G53760	93.6	0	1270
Bra007027	AT3G53800	91.2	3.91e-209	577
Bra007030	AT3G53840	81.1	0	1041
Bra007032	AT3G53880	90.2	1.12e-215	589
Bra007034	AT3G53900	85.9	1.87e-179	496
Bra007039	AT3G54000	50.4	6.17e-77	239
Bra007041	AT3G54050	91.6	3.4e-264	720
Bra007043	AT3G54080	62.6	1.38e-131	379
Bra007044	AT3G54090	93.7	4.63e-268	731
Bra007045	AT3G54100	82.6	0	999
Bra007046	AT3G54110	94.1	2.74e-210	575
Bra007047	AT3G54120	79.8	8.26e-109	310
Bra007048	AT4G13460	73.3	0	919
Bra007049	AT3G54130	85	2.19e-168	467
Bra007052	AT3G54170	84.2	1.69e-132	380
Bra007056	AT3G54220	98.7	1.26e-226	630
Bra007057	AT3G54230	77.2	0	1298
Bra007060	AT3G54270	82.1	2.23e-267	729
Bra007061	AT3G54280	90.1	0	3570
Bra007062	AT3G54290	76.4	6.39e-191	530
Bra007065	AT3G54310	74.5	2.35e-190	529
Bra007066	AT3G54320	79.7	2.9e-195	546
Bra007067	AT3G54340	94.8	9.73e-156	431
Bra007068	AT3G54360	86.3	3.29e-216	598
Bra007069	AT3G54390	77.5	1.5e-150	424
Bra007071	AT3G54420	91.9	3.57e-192	526
Bra007072	AT3G54430	72.2	1.94e-92	271
Bra007073	AT3G54450	85.6	0	941
Bra007076	AT3G54510	88.2	0	1232
Bra007077	AT3G54520	61.4	7.47e-35	123
Bra007078	AT2G19610	65.4	9.44e-175	493
Bra007079	AT3G54540	84.3	0	1118
Bra007083	AT3G54620	69.9	8.82e-162	459
Bra007084	AT3G54630	68.2	1.86e-231	650
Bra007085	AT3G54640	91.7	1.22e-200	551
Bra007086	AT3G54650	83.7	0	925
Bra007087	AT3G54660	90.8	0	988
Bra007088	AT3G54670	83.3	0	1581
Bra007091	AT3G54720	87.1	0	1230
Bra007093	AT3G54740	74.7	7.88e-208	578
Bra007094	AT3G54750	81.5	0	923
Bra007096	AT3G54770	84.7	3.6e-135	381
Bra007099	AT3G54810	83.1	4.13e-184	510
Bra007100	AT3G54820	94.8	4.91e-201	550
Bra007102	AT2G26110	65.6	6.17e-108	314
Bra007105	AT3G54850	87.7	2.89e-298	825
Bra007106	AT3G54860	90.3	0	1064
Bra007107	AT3G54870	80.1	0	1407
Bra007108	AT3G54880	88.4	9.73e-68	198
Bra007114	AT4G10400	59.5	5.35e-153	438
Bra007116	AT3G54920	82.1	1.52e-275	756
Bra007117	AT3G54930	89.1	1.11002e-319	867
Bra007118	AT3G54940	84.5	3.28e-239	653
Bra007119	AT3G54950	86	3.85e-302	823
Bra007120	AT3G54960	86.4	0	946
Bra007121	AT3G54970	81.2	1.4e-201	556
Bra007122	AT3G54980	71.5	6.83e-155	474
Bra007123	AT3G54990	79.4	6.22e-171	478
Bra007127	AT3G55020	81.9	0	1214
Bra007130	AT3G55040	76.8	7.53e-154	431
Bra007131	AT3G55050	88.1	3.14e-254	692
Bra007140	AT3G55080	73.2	5.2e-232	642
Bra007141	AT3G55110	84.1	0	1154
Bra007142	AT3G55120	81.5	1.98e-138	388
Bra007148	AT3G55180	86.9	8.51e-191	525
Bra007149	AT3G55240	97.9	2.42e-58	173
Bra007150	AT3G55250	86	2.19e-165	459
Bra007152	AT3G55340	61.8	4.09e-234	661
Bra007153	AT3G55350	88.1	3.91e-235	646
Bra007154	AT3G55360	96.5	2.94e-230	625
Bra007158	AT3G55390	95.3	8.21e-131	364
Bra007159	AT3G55400	90	0	1048
Bra007164	AT3G55450	87.2	1.31e-230	634
Bra007166	AT3G55470	87.2	5.9e-99	281
Bra007167	AT3G55480	77.4	0	1597
Bra007170	AT3G55500	91.2	2.61e-183	503
Bra007171	AT3G55510	73.3	3.05e-308	848
Bra007173	AT3G55520	92.7	1.4e-100	288
Bra007174	AT3G55530	92.5	3.16e-169	468
Bra007177	AT3G55580	85	6.67e-307	834
Bra007178	AT3G55600	86.3	2.52e-127	359
Bra007179	AT3G55610	93.6	0	1320
Bra007180	AT3G55620	96.3	3.69e-171	471
Bra007181	AT3G55640	86	8.53e-213	584
Bra007183	AT3G55660	85.4	0	927
Bra007184	AT3G55700	77.3	6.74e-263	720
Bra007185	AT3G55720	88.6	2.73e-285	775
Bra007186	AT3G55730	69.9	3.96e-187	523
Bra007190	AT3G55780	87.6	1.35e-233	640
Bra007191	AT3G55790	59.8	2.45e-19	75.9
Bra007192	AT3G55800	95.4	8.68e-274	743
Bra007193	AT3G55820	71.5	7.36e-88	256
Bra007194	AT3G55830	89.5	2.99e-225	615
Bra007195	AT3G55840	84.2	1.89e-255	699
Bra007198	AT3G55880	88.4	2.68e-123	347
Bra007199	AT3G55890	76.5	8.61e-65	192
Bra007200	AT3G55920	91.7	2.85e-145	404
Bra007201	AT3G55940	82.2	0	964
Bra007202	AT3G55950	93.5	6.89e-224	630
Bra007203	AT3G55960	87	1.53e-185	511
Bra007205	AT3G55980	81.8	7.68e-319	874
Bra007207	AT3G56000	86.7	0	914
Bra007209	AT3G56030	77.7	1.57e-155	439
Bra007210	AT3G56040	87.1	0	1536
Bra007211	AT3G56050	79.7	9.64e-277	759
Bra007213	AT3G56060	82.1	0	924
Bra007214	AT3G56070	90.9	2.26e-119	334
Bra007215	AT3G56090	86.9	1.56e-148	414
Bra007217	AT3G56120	77.2	4.04e-259	710
Bra007218	AT3G56130	78.9	2.04e-137	388
Bra007219	AT5G51350	70	1.14e-32	127
Bra007220	AT3G56150	85.8	0	1358
Bra007221	AT3G56160	78.3	1.17e-232	642
Bra007222	AT3G56170	79.9	1.48e-182	506
Bra007223	AT3G56180	90.9	8.86e-142	393
Bra007225	AT3G56200	88.8	1.47e-263	720
Bra007227	AT3G56210	79.3	2.92e-93	270
Bra007229	AT3G56230	89	7.8e-178	491
Bra007230	AT3G56240	98.7	5.92e-49	151
Bra007232	AT3G56260	56.9	4.18e-52	166
Bra007233	AT3G56270	64.9	1.32e-166	477
Bra007234	AT3G56290	86.3	5.91e-106	300
Bra007235	AT3G56310	92.7	2.93e-299	810
Bra007236	AT3G56320	77.3	4.86e-308	846
Bra007237	AT3G56330	90.5	2.71e-231	634
Bra007238	AT3G56340	96.1	6.7e-87	248
Bra007239	AT3G56350	91.2	1.18e-150	418
Bra007241	AT3G56370	92.2	5.92e-309	878
Bra007242	AT3G56380	78.1	6.83e-83	241
Bra007245	AT3G56420	79.9	7.99e-79	229
Bra007250	AT3G56510	76.7	6.78e-134	377
Bra007251	AT3G56550	81.5	0	937
Bra007252	AT3G56570	73.3	5.02e-244	677
Bra007253	AT3G56580	77.8	5.21e-148	418
Bra007255	AT3G56600	78.5	2.03e-263	747
Bra007259	AT3G56630	83	4.93e-300	818
Bra007260	AT3G56640	94.1	0	1365
Bra007262	AT3G56690	77.6	0	1458
Bra007263	AT3G56700	75.2	1.14e-294	809
Bra007265	AT3G56710	74.5	3.9e-67	200
Bra007266	AT3G56720	55.6	4.68e-86	268
Bra007267	AT3G56740	92.2	7.23e-187	514
Bra007268	AT3G56750	91.6	2.4e-276	750
Bra007270	AT3G56810	72.6	5.25e-151	427
Bra007271	AT3G56820	77.3	1.52e-121	343
Bra007273	AT3G56840	87.4	1.88e-278	759
Bra007274	AT3G56850	85.3	1.55e-162	452
Bra007277	AT3G56860	81.8	9.3e-204	571
Bra007278	AT3G56870	55.7	1.51e-236	677
Bra007279	AT3G56880	70.6	1.28e-102	296
Bra007280	AT3G56891	75.9	2.52e-87	252
Bra007281	AT3G56900	85.7	4.51e-286	778
Bra007282	AT3G56910	78	3.78e-58	177
Bra007291	AT3G56990	82.7	0	1105
Bra007292	AT3G57000	73.2	1.94e-129	369
Bra007294	AT3G57030	84.9	4.97e-236	645
Bra007298	AT3G57062	93.8	5.57e-30	100
Bra007299	AT3G57070	76.2	5.35e-205	570
Bra007300	AT3G57080	83.8	3.98e-118	335
Bra007301	AT3G57090	86.5	2.22e-101	288
Bra007303	AT3G57120	84.1	3.3e-231	639
Bra007306	AT3G57130	89.3	1.1e-287	784
Bra007308	AT3G57170	81.5	1.82e-301	832
Bra007310	AT3G57190	83.3	2.62e-232	639
Bra007311	AT3G57200	78.6	1.24e-271	746
Bra007312	AT3G57220	91.8	3.14e-278	756
Bra007315	AT3G57260	73.7	2.58e-166	466
Bra007316	AT3G57280	82.8	5.24e-125	352
Bra007318	AT3G57300	81.4	0	2379
Bra007320	AT3G57340	73.7	7.58e-182	508
Bra007321	AT3G57350	86.9	0	1462
Bra007322	AT3G57360	83.2	4.98e-153	426
Bra007323	AT3G57380	75.8	6.54e-272	747
Bra007324	AT3G57390	81.3	2.12e-127	361
Bra007325	AT3G57400	71.3	5.58e-206	577
Bra007326	AT3G57410	89.5	0	1650
Bra007327	AT3G57430	86.2	0	1513
Bra007329	AT3G57470	82.2	0	1598
Bra007331	AT3G57500	84.7	6.88e-57	172
Bra007333	AT3G57520	92.2	0	1463
Bra007335	AT3G57540	77.4	1.86e-89	268
Bra007336	AT3G57550	90.3	1.21e-252	689
Bra007337	AT3G57560	91	4.39e-213	585
Bra007340	AT3G57570	83.9	0	1776
Bra007341	AT3G57600	75.4	2.65e-139	392
Bra007342	AT3G57610	92.2	0	910
Bra007343	AT3G57630	91.4	0	1583
Bra007344	AT3G57650	93.8	2.88e-268	728
Bra007345	AT3G57660	79.2	0	2471
Bra007348	AT3G57680	83	5.32e-298	813
Bra007357	AT3G57740	74.2	4.35e-184	513
Bra007358	AT3G57800	64.3	5.59e-159	452
Bra007360	AT3G57810	57.5	1.22e-102	300
Bra007362	AT3G57860	67.5	7.09e-102	295
Bra007367	AT3G57940	90.7	0	1787
Bra007369	AT3G57950	84	3.27e-94	270
Bra007371	AT3G57980	60.9	6.3e-144	430
Bra007373	AT3G58000	82.3	2.53e-95	273
Bra007378	AT3G58070	66.7	1.62e-104	303
Bra007382	AT3G58140	91.6	4.65e-292	792
Bra007383	AT3G58170	97.4	7.51e-75	218
Bra007384	AT3G58180	87.4	2.38e-144	407
Bra007385	AT3G58190	81	6.04e-122	344
Bra007388	AT3G58370	57	1.11e-112	327
Bra007394	AT3G58460	91.2	4.06e-252	690
Bra007395	AT3G58470	85	1.13e-150	419
Bra007398	AT3G58500	98.7	3.35e-242	656
Bra007400	AT3G58520	92.4	9.34e-279	757
Bra007401	AT3G58530	51.7	1.82e-100	296
Bra007405	AT3G58620	80	0	961
Bra007406	AT3G57590	56.9	8.66e-152	434
Bra007407	AT3G58630	78.9	1.1e-133	381
Bra007408	AT3G58640	91.5	0	1448
Bra007412	AT3G58690	89	1.06e-249	682
Bra007415	AT3G58730	92.7	6.12e-162	449
Bra007417	AT3G58750	92.2	0	921
Bra007420	AT3G58790	85.6	0	914
Bra007421	AT3G58800	71.4	5.5e-182	506
Bra007423	AT3G58970	82.4	1.49e-241	664
Bra007425	AT3G59010	85.3	3.01e-311	848
Bra007430	AT3G59060	77	2.14e-195	548
Bra007431	AT3G59070	76.3	3.98e-228	632
Bra007432	AT3G59090	80.6	5.98e-184	513
Bra007434	AT3G59140	89.5	0	2516
Bra007447	AT3G59410	87.1	0	2137
Bra007448	AT3G59420	85.9	0	1539
Bra007449	AT3G59430	57.1	2.28e-136	394
Bra007452	AT3G59480	95.1	7.37e-223	608
Bra007456	AT3G59520	92	6.26e-129	363
Bra007459	AT3G59550	66.8	9.38e-295	820
Bra007460	AT3G59570	75.7	0	980
Bra007463	AT3G59600	93.2	4.29e-101	285
Bra007464	AT3G59630	87.5	2.68e-312	848
Bra007470	AT3G59680	77.9	4.89e-111	317
Bra007471	AT3G59690	81.2	5.67e-260	717
Bra007472	AT3G59710	80	2e-164	459
Bra007478	AT3G59810	91.1	1.83e-54	163
Bra007479	AT3G59820	85.2	0	1073
Bra007481	AT3G59840	90.7	1.42e-61	181
Bra007482	AT3G59845	75.9	2.23e-206	568
Bra007483	AT3G59850	90.2	9.12e-259	706
Bra007485	AT3G59880	78.4	1.76e-65	194
Bra007487	AT3G60040	51.1	1.11e-47	166
Bra007492	AT3G59910	87.9	0	1041
Bra007494	AT3G59940	79	1.34e-235	648
Bra007496	AT3G59960	70.4	1.56e-160	451
Bra007498	AT3G59980	79.2	1.88e-138	390
Bra007504	AT3G60080	79.7	4.7e-142	401
Bra007505	AT3G60090	84.7	5.78e-90	258
Bra007506	AT3G60110	61.5	3.15e-158	467
Bra007508	AT3G60130	85.6	0	931
Bra007511	AT3G60966	65.7	1.77e-58	177
Bra007512	AT3G60180	78.4	2.37e-109	311
Bra007514	AT3G60200	65.6	1.24e-116	336
Bra007515	AT3G60220	73	3.04e-141	401
Bra007521	AT3G60260	91.1	7.41e-178	489
Bra007524	AT3G60330	94.7	0	1776
Bra007530	AT3G60390	80	2.38e-131	375
Bra007534	AT3G60400	71.6	1.25e-274	770
Bra007538	AT3G60480	78.5	4.44e-60	179
Bra007539	AT3G60490	70.8	3.53e-110	317
Bra007540	AT3G60500	84.7	1.62e-259	710
Bra007544	AT3G60550	92.7	7.61e-146	405
Bra007545	AT3G60580	66.3	4.07e-110	320
Bra007546	AT3G60590	77.6	1.1e-170	479
Bra007548	AT3G60620	79.8	9.95e-231	635
Bra007549	AT3G60660	71.8	1.4e-157	441
Bra007551	AT3G60680	75.4	6.62e-247	682
Bra007553	AT3G60720	90	4.63e-168	466
Bra007554	AT3G60730	85.2	1.62e-308	841
Bra007557	AT3G60780	81.7	4.68e-129	362
Bra007564	AT3G60810	87.4	4.61e-134	374
Bra007565	AT3G60820	95.1	1.34e-153	424
Bra007567	AT3G60850	76.5	0	955
Bra007569	AT3G60900	84.4	1.23e-221	613
Bra007571	AT3G61040	76.4	2.67e-270	743
Bra007572	AT3G61110	96.4	8.18e-59	174
Bra007573	AT3G61130	89.1	0	1195
Bra007574	AT1G23520	55.8	1.52e-91	271
Bra007578	AT3G61170	75.5	0	1056
Bra007579	AT3G61172	75.7	2.72e-41	129
Bra007580	AT3G61180	82.3	4.22e-209	577
Bra007581	AT3G61190	71.9	3.15e-92	266
Bra007584	AT3G61210	79.7	2.65e-156	434
Bra007585	AT3G61220	82.1	2.6e-174	484
Bra007587	AT3G61240	89.6	1.04e-314	854
Bra007593	AT3G61280	79.8	0	891
Bra007594	AT3G61300	78.3	0	1532
Bra007595	AT3G61310	70.6	9.64e-160	450
Bra007597	AT3G61360	80.8	2.62e-281	770
Bra007598	AT3G61370	74.2	1.37e-45	144
Bra007599	AT3G61380	66.7	1.13e-298	829
Bra007600	AT3G61390	65.4	6.98e-183	516
Bra007602	AT3G61415	83.7	9.15e-195	541
Bra007606	AT3G61460	91.9	2.2e-120	336
Bra007607	AT3G61400	75.7	1.04e-204	566
Bra007608	AT5G28350	89.5	0	1984
Bra007609	AT3G61490	90.3	0	889
Bra007611	AT3G61510	85.3	2.98e-300	817
Bra007613	AT3G61550	73	2.29e-81	241
Bra007614	AT3G61570	78.8	2.08e-314	872
Bra007617	AT1G45063	65	2.41e-123	356
Bra007620	AT3G61620	95.9	3.5e-160	442
Bra007622	AT3G61650	98.3	0	926
Bra007624	AT3G61660	72	1.2e-66	198
Bra007625	AT3G61670	72.5	0	1008
Bra007629	AT2G25410	53.1	7.53e-160	456
Bra007634	AT3G61870	81.4	5.67e-157	437
Bra007636	AT3G61880	91	0	955
Bra007637	AT3G61890	81.9	2.3e-101	293
Bra007639	AT3G61900	79.4	2.48e-52	160
Bra007640	AT3G61910	80.5	5.77e-198	545
Bra007641	AT3G61920	81	3.13e-105	299
Bra007642	AT3G61930	62.5	5.65e-41	130
Bra007644	AT3G61950	65.3	1.72e-113	330
Bra007646	AT3G61970	83.9	8.68e-156	436
Bra007647	AT3G61980	80.5	3.44e-64	190
Bra007649	AT3G62000	88.7	4.44e-167	466
Bra007651	AT3G62010	94.3	0	2335
Bra007652	AT3G62020	95	6.63e-148	410
Bra007653	AT3G62050	54.5	4.3e-50	157
Bra007655	AT3G62030	89.7	1.02e-162	452
Bra007656	AT3G62040	93.4	6.32e-146	405
Bra007658	AT3G62070	65.4	6.91e-91	267
Bra007659	AT3G62080	84.4	5.05e-247	679
Bra007660	AT3G62090	67.1	3.09e-135	392
Bra007663	AT3G62120	95.9	0	980
Bra007667	AT3G62190	88.6	6.71e-54	163
Bra007668	AT3G62200	69.7	6.03e-315	869
Bra007669	AT3G62260	78.4	1.06e-207	574
Bra007670	AT3G62300	54.3	1.74e-239	680
Bra007673	AT3G62330	78.3	1.14e-252	697
Bra007674	AT3G62340	58.6	2.25e-102	300
Bra007675	AT3G62360	86.3	0	2097
Bra007676	AT3G62390	82.9	1.92e-292	796
Bra007679	AT3G62420	88.4	6.94e-83	239
Bra007681	AT3G62450	64.6	7.78e-36	116
Bra007682	AT3G62470	82.3	1.02e-175	511
Bra007683	AT3G62550	92.6	2.79e-105	297
Bra007684	AT3G62570	76	4.39e-300	823
Bra007685	AT3G62580	91.5	3.06e-145	402
Bra007686	AT3G62590	83.9	0	922
Bra007687	AT3G62600	95.4	1.64e-220	604
Bra007689	AT3G62630	76.1	5.31e-182	509
Bra007690	AT3G62640	69.6	2.78e-51	157
Bra007694	AT3G62690	84.5	7.07e-136	389
Bra007695	AT3G62700	90	0	2637
Bra007696	AT3G62720	93	0	905
