bra_id	BRA_id	in_scent_data	in_radiation_data	scent_evidence
Bra027608	BRA027608	1	1	GO:terpene synthase activity | GO:terpenoid biosynthetic process | Pfam:Terpene_synth_C (terpene synthase C)
Bra027609	BRA027609	1	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra027672	BRA027672	1	1	GO:isoprenoid biosynthetic process | GO:terpenoid biosynthetic process
Bra027770	BRA027770	1	1	GO:isoprenoid biosynthetic process | GO:terpenoid biosynthetic process
Bra027815	BRA027815	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra027931	BRA027931	1	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra028024	BRA028024	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra028094	BRA028094	0	1	GO:isoprenoid biosynthetic process
Bra028096	BRA028096	1	1	GO:isoprenoid biosynthetic process
Bra028166	BRA028166	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra028199	BRA028199	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra028224	BRA028224	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra028235	BRA028235	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra028251	BRA028251	0	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra028366	BRA028366	0	1	GO:phenylpropanoid biosynthetic process
Bra028426	BRA028426	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra028482	BRA028482	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra028681	BRA028681	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra028682	BRA028682	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra028793	BRA028793	1	1	GO:phenylpropanoid metabolic process
Bra028858	BRA028858	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra028859	BRA028859	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra028893	BRA028893	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra029041	BRA029041	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra029185	BRA029185	1	1	GO:O-methyltransferase activity
Bra029388	BRA029388	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra029831	BRA029831	1	1	GO:phenylpropanoid metabolic process
Bra029875	BRA029875	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra029884	BRA029884	1	1	GO:sesquiterpene biosynthetic process
Bra029999	BRA029999	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra030000	BRA030000	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra030190	BRA030190	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra030195	BRA030195	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra030279	BRA030279	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra030322	BRA030322	1	1	GO:phenylpropanoid metabolic process
Bra030351	BRA030351	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra030359	BRA030359	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra030360	BRA030360	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra030550	BRA030550	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra030701	BRA030701	1	1	GO:phenylpropanoid biosynthetic process
Bra030876	BRA030876	1	1	GO:phenylpropanoid biosynthetic process
Bra030878	BRA030878	1	1	GO:phenylpropanoid biosynthetic process
Bra030926	BRA030926	0	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra030988	BRA030988	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra031161	BRA031161	1	1	GO:phenylpropanoid biosynthetic process
Bra031162	BRA031162	1	1	GO:phenylpropanoid biosynthetic process
Bra031216	BRA031216	1	1	GO:cinnamyl-alcohol dehydrogenase activity
Bra031266	BRA031266	1	1	GO:phenylpropanoid metabolic process
Bra031989	BRA031989	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra031990	BRA031990	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra032140	BRA032140	1	1	GO:isoprenoid biosynthetic process
Bra032155	BRA032155	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra032157	BRA032157	0	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra032158	BRA032158	0	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra032159	BRA032159	0	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra032160	BRA032160	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra032161	BRA032161	0	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra032185	BRA032185	1	1	GO:triterpenoid biosynthetic process
Bra032359	BRA032359	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra032718	BRA032718	0	1	GO:phenylpropanoid biosynthetic process
Bra032743	BRA032743	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra032744	BRA032744	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra032770	BRA032770	1	1	GO:isoprenoid biosynthetic process
Bra032805	BRA032805	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra032837	BRA032837	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra032918	BRA032918	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra033050	BRA033050	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra033107	BRA033107	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra033110	BRA033110	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra033126	BRA033126	1	1	GO:isoprenoid biosynthetic process
Bra033152	BRA033152	1	1	GO:phenylpropanoid biosynthetic process
Bra033395	BRA033395	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra033495	BRA033495	1	1	GO:isoprenoid biosynthetic process | GO:terpenoid biosynthetic process
Bra033498	BRA033498	0	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra033526	BRA033526	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra033613	BRA033613	1	1	GO:cinnamyl-alcohol dehydrogenase activity
Bra033733	BRA033733	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra033967	BRA033967	0	1	GO:O-methyltransferase activity
Bra033968	BRA033968	1	1	GO:O-methyltransferase activity
Bra033991	BRA033991	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra034150	BRA034150	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra034255	BRA034255	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra034387	BRA034387	1	1	GO:O-methyltransferase activity
Bra034600	BRA034600	1	1	GO:O-methyltransferase activity
Bra034677	BRA034677	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra034678	BRA034678	0	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra034872	BRA034872	0	1	GO:phenylpropanoid biosynthetic process
Bra035033	BRA035033	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra035042	BRA035042	1	1	GO:isoprenoid biosynthetic process
Bra035078	BRA035078	1	1	GO:triterpenoid biosynthetic process
Bra035079	BRA035079	1	1	GO:triterpenoid biosynthetic process
Bra035081	BRA035081	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra035120	BRA035120	1	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra035243	BRA035243	0	1	GO:phenylpropanoid biosynthetic process
Bra035320	BRA035320	1	1	GO:jasmonic acid biosynthetic process
Bra035323	BRA035323	0	1	GO:phenylpropanoid biosynthetic process
Bra035334	BRA035334	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra035481	BRA035481	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra035482	BRA035482	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra035675	BRA035675	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra035680	BRA035680	1	1	GO:phenylpropanoid biosynthetic process
Bra035808	BRA035808	0	1	GO:isoprenoid biosynthetic process
Bra035809	BRA035809	1	1	GO:triterpenoid biosynthetic process
Bra035810	BRA035810	0	1	GO:triterpenoid biosynthetic process
Bra035881	BRA035881	1	1	GO:isoprenoid biosynthetic process
Bra035927	BRA035927	1	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra036069	BRA036069	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra036207	BRA036207	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra036208	BRA036208	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra036239	BRA036239	1	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:terpenoid biosynthetic process | Pfam:Terpene_synth (terpene synthase N)
Bra036480	BRA036480	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra036630	BRA036630	1	1	GO:isoprenoid biosynthetic process
Bra036738	BRA036738	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra036946	BRA036946	1	1	GO:jasmonic acid metabolic process
Bra037126	BRA037126	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra037763	BRA037763	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra037891	BRA037891	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra037985	BRA037985	1	1	GO:phenylpropanoid biosynthetic process
Bra037986	BRA037986	1	1	GO:phenylpropanoid biosynthetic process
Bra037987	BRA037987	1	1	GO:phenylpropanoid biosynthetic process
Bra038086	BRA038086	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra038093	BRA038093	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra038171	BRA038171	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra038320	BRA038320	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra038396	BRA038396	0	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra038414	BRA038414	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra038499	BRA038499	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra038504	BRA038504	1	1	GO:isoprenoid biosynthetic process | GO:terpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:terpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra038544	BRA038544	0	1	GO:isoprenoid biosynthetic process
Bra038561	BRA038561	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra038569	BRA038569	1	1	GO:terpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra038645	BRA038645	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra038694	BRA038694	0	1	GO:phenylpropanoid biosynthetic process
Bra038929	BRA038929	1	1	GO:phenylpropanoid biosynthetic process
Bra039120	BRA039120	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra039202	BRA039202	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra039203	BRA039203	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra039206	BRA039206	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra039216	BRA039216	1	1	GO:isoprenoid biosynthetic process
Bra039238	BRA039238	1	1	GO:terpene synthase activity | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra039519	BRA039519	0	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra039555	BRA039555	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra039556	BRA039556	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra039777	BRA039777	1	1	GO:phenylpropanoid metabolic process
Bra039853	BRA039853	1	1	GO:O-methyltransferase activity
Bra039928	BRA039928	0	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra039929	BRA039929	0	1	GO:triterpenoid biosynthetic process
Bra039948	BRA039948	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase) | Pfam:Lipoxygenase
Bra040330	BRA040330	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra040354	BRA040354	0	1	GO:terpene synthase activity | GO:terpenoid biosynthetic process | Pfam:Terpene_synth_C (terpene synthase C)
Bra040449	BRA040449	1	1	GO:carotenoid dioxygenase activity | GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra040582	BRA040582	1	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
Bra040586	BRA040586	1	1	Pfam:Transferase (BAHD acyltransferase, e.g. BEAT/BEBT)
Bra040599	BRA040599	1	1	GO:isoprenoid biosynthetic process
Bra040689	BRA040689	1	1	GO:O-methyltransferase activity | Pfam:Methyltransf_2 (O-MT, incl. SABATH-adjacent)
Bra040694	BRA040694	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra040695	BRA040695	1	1	GO:oxidoreductase activity, acting on single donors (lipoxygenase)
Bra040746	BRA040746	1	1	GO:jasmonic acid metabolic process | GO:methyl salicylate esterase activity | GO:methyl jasmonate esterase activity
Bra040920	BRA040920	1	1	GO:terpene synthase activity | GO:sesquiterpene synthase activity | GO:diterpenoid biosynthetic process | GO:terpenoid biosynthetic process | GO:sesquiterpene biosynthetic process | Pfam:Terpene_synth (terpene synthase N) | Pfam:Terpene_synth_C (terpene synthase C)
