kegg_id,symbol,brapa_gene,arabidopsis_agi
ath:AT1G78130,UNE2,Bra008347,AT1G78130
ath:AT1G78140,AT1G78140,Bra008348,AT1G78140
ath:AT1G78150,AT1G78150,Bra008349,AT1G78150
ath:AT1G78160,PUM7,Bra008350,AT1G78160
ath:AT1G78172,AT1G78172,Bra008352,AT1G78172
ath:AT1G78270,UGT85A4,Bra008354,AT1G78270
ath:AT1G78590,NADK3,Bra008370,AT1G78590
ath:AT1G78600,LZF1,Bra008371,AT1G78600
ath:AT1G78660,GGH1,Bra008376,AT1G78660
ath:AT1G78810,AT1G78810,Bra008380,AT1G78810
ath:AT1G78940,AT1G78940,Bra008387,AT1G78940
ath:AT1G79050,RECA1,Bra008393,AT1G79050
ath:AT1G79190,AT1G79190,Bra008401,AT1G79190
ath:AT1G16470,PAB1,Bra008402,AT1G16470
ath:AT1G79250,AGC1.7,Bra008404,AT1G79250
ath:AT1G79260,AT1G79260,Bra008405,AT1G79260
ath:AT1G79330,MC5,Bra008407,AT1G79330
ath:AT1G79360,OCT2,Bra008408,AT1G79360
ath:AT1G79400,CHX2,Bra008410,AT1G79400
ath:AT1G79540,AT1G79540,Bra008417,AT1G79540
ath:AT1G79550,PGK,Bra008421,AT1G79550
ath:AT1G79590,SYP52,Bra008425,AT1G79590
ath:AT1G79620,AT1G79620,Bra008427,AT1G79620
ath:AT1G80930,AT1G80930,Bra008429,AT1G80930
ath:AT1G80880,AT1G80880,Bra008432,AT1G80880
ath:AT1G80870,AT1G80870,Bra008433,AT1G80870
ath:AT1G80860,PLMT,Bra008434,AT1G80860
ath:AT1G80830,NRAMP1,Bra008437,AT1G80830
ath:AT1G80820,CCR2,Bra008438,AT1G80820
ath:AT1G80730,ZFP1,Bra008445,AT1G80730
ath:AT1G80650,RTL1,Bra008448,AT1G80650
ath:AT1G80640,AT1G80640,Bra008449,AT1G80640
ath:AT4G23160,CRK8,Bra008452,AT4G23160
ath:AT1G66550,WRKY67,Bra008459,AT1G66550
ath:AT1G80580,AT1G80580,Bra008460,AT1G80580
ath:AT1G80570,AT1G80570,Bra008461,AT1G80570
ath:AT2G26000,BRIZ2,Bra008462,AT2G26000
ath:AT1G80560,IMD2,Bra008463,AT1G80560
ath:AT1G80540,AT1G80540,Bra008468,AT1G80540
ath:AT1G80510,AT1G80510,Bra008469,AT1G80510
ath:AT1G80480,PTAC17,Bra008470,AT1G80480
ath:AT1G80400,AT1G80400,Bra008475,AT1G80400
ath:AT1G80370,CYCA2,Bra008477,AT1G80370
ath:AT1G80360,AT1G80360,Bra008478,AT1G80360
ath:AT1G80340,GA3OX2,Bra008480,AT1G80340
ath:AT1G80330,GA3OX4,Bra008481,AT1G80330
ath:AT1G80320,AT1G80320,Bra008482,AT1G80320
ath:AT1G80290,AT1G80290,Bra008483,AT1G80290
ath:AT1G80280,AT1G80280,Bra008484,AT1G80280
ath:AT1G80260,emb1427,Bra008485,AT1G80260
ath:AT1G80200,AT1G80200,Bra008487,AT1G80200
ath:AT1G80190,PSF1,Bra008488,AT1G80190
ath:AT1G80180,AT1G80180,Bra008489,AT1G80180
ath:AT1G80160,GLYI7,Bra008491,AT1G80160
ath:AT1G80150,AT1G80150,Bra008492,AT1G80150
ath:AT1G80140,AT1G80140,Bra008493,AT1G80140
ath:AT1G80133,AT1G80133,Bra008494,AT1G80133
ath:AT1G80130,AT1G80130,Bra008495,AT1G80130
ath:AT1G80120,AT1G80120,Bra008497,AT1G80120
ath:AT1G79910,AT1G79910,Bra008502,AT1G79910
ath:AT5G63930,AT5G63930,Bra008505,AT5G63930
ath:AT1G64790,ILA,Bra008506,AT1G64790
ath:AT1G64970,G-TMT,Bra008507,AT1G64970
ath:AT5G61020,ECT3,Bra008509,AT5G61020
ath:AT2G12190,AT2G12190,Bra008510,AT2G12190
ath:AT1G64880,AT1G64880,Bra008512,AT1G64880
ath:AT1G64860,SIGA,Bra008513,AT1G64860
ath:AT4G00240,PLDBETA2,Bra008515,AT4G00240
ath:AT4G00295,AT4G00295,Bra008516,AT4G00295
ath:AT4G00300,AT4G00300,Bra008517,AT4G00300
ath:AT4G00305,AT4G00305,Bra008518,AT4G00305
ath:AT4G00360,CYP86A2,Bra008519,AT4G00360
ath:AT4G00540,MYB3R2,Bra008523,AT4G00540
ath:AT4G00560,AT4G00560,Bra008524,AT4G00560
ath:AT4G00700,AT4G00700,Bra008528,AT4G00700
ath:AT4G00750,AT4G00750,Bra008529,AT4G00750
ath:AT4G00755,AT4G00755,Bra008530,AT4G00755
ath:AT4G01110,AT4G01110,Bra008534,AT4G01110
ath:AT4G01023,AT4G01023,Bra008536,AT4G01023
ath:AT4G01070,GT72B1,Bra008540,AT4G01070
ath:AT4G00895,AT4G00895,Bra008543,AT4G00895
ath:AT4G00890,AT4G00890,Bra008544,AT4G00890
ath:AT4G01500,NGA4,Bra008552,AT4G01500
ath:AT4G01550,NAC069,Bra008553,AT4G01550
ath:AT4G01590,AT4G01590,Bra008554,AT4G01590
ath:AT4G01730,AT4G01730,Bra008555,AT4G01730
ath:AT4G02120,AT4G02120,Bra008557,AT4G02120
ath:AT4G02150,MOS6,Bra008559,AT4G02150
ath:AT5G17320,HDG9,Bra008562,AT5G17320
ath:AT5G17280,AT5G17280,Bra008565,AT5G17280
ath:AT5G17270,AT5G17270,Bra008566,AT5G17270
ath:AT5G17250,AT5G17250,Bra008568,AT5G17250
ath:AT5G17180,AT5G17180,Bra008574,AT5G17180
ath:AT5G17150,AT5G17150,Bra008577,AT5G17150
ath:AT5G17140,AT5G17140,Bra008578,AT5G17140
ath:AT5G17060,ARFB1B,Bra008579,AT5G17060
ath:AT5G17000,AT5G17000,Bra008581,AT5G17000
ath:AT5G16930,AT5G16930,Bra008582,AT5G16930
ath:AT5G16880,AT5G16880,Bra008585,AT5G16880
ath:AT5G16870,AT5G16870,Bra008586,AT5G16870
ath:AT5G16860,AT5G16860,Bra008587,AT5G16860
ath:AT5G16850,TERT,Bra008588,AT5G16850
ath:AT5G16780,DOT2,Bra008595,AT5G16780
ath:AT2G03140,AT2G03140,Bra008599,AT2G03140
ath:AT5G16730,AT5G16730,Bra008600,AT5G16730
ath:AT5G16720,AT5G16720,Bra008601,AT5G16720
ath:AT5G16715,EMB2247,Bra008602,AT5G16715
ath:AT5G16690,ORC3,Bra008604,AT5G16690
ath:AT5G16680,AT5G16680,Bra008605,AT5G16680
ath:AT5G16650,AT5G16650,Bra008607,AT5G16650
ath:AT5G16620,TIC40,Bra008608,AT5G16620
ath:AT5G16610,AT5G16610,Bra008609,AT5G16610
ath:AT5G16570,GLN1,Bra008612,AT5G16570
ath:AT5G16530,PIN5,Bra008615,AT5G16530
ath:AT5G16510,RGP5,Bra008616,AT5G16510
ath:AT5G16490,RIC4,Bra008619,AT5G16490
ath:AT5G16480,PFA-DSP5,Bra008620,AT5G16480
ath:AT5G16320,FRL1,Bra008624,AT5G16320
ath:AT5G16300,AT5G16300,Bra008625,AT5G16300
ath:AT5G16280,AT5G16280,Bra008626,AT5G16280
ath:AT4G11340,AT4G11340,Bra008627,AT4G11340
ath:AT5G16260,ELF9,Bra008629,AT5G16260
ath:AT5G16250,AT5G16250,Bra008630,AT5G16250
ath:AT5G16230,AT5G16230,Bra008632,AT5G16230
ath:AT5G16220,AT5G16220,Bra008633,AT5G16220
ath:AT5G16200,AT5G16200,Bra008636,AT5G16200
ath:AT5G16110,AT5G16110,Bra008645,AT5G16110
ath:AT5G16080,CXE17,Bra008651,AT5G16080
ath:AT5G16060,AT5G16060,Bra008653,AT5G16060
ath:AT5G16040,AT5G16040,Bra008654,AT5G16040
ath:AT5G16030,AT5G16030,Bra008655,AT5G16030
ath:AT5G16020,GEX3,Bra008656,AT5G16020
ath:AT1G72550,AT1G72550,Bra008658,AT1G72550
ath:AT5G16000,NIK1,Bra008659,AT5G16000
ath:AT5G15980,AT5G15980,Bra008660,AT5G15980
ath:AT5G15970,KIN2,Bra008661,AT5G15970
ath:AT5G15950,AT5G15950,Bra008662,AT5G15950
ath:AT5G15900,TBL19,Bra008663,AT5G15900
ath:AT5G15890,TBL21,Bra008664,AT5G15890
ath:AT5G15870,AT5G15870,Bra008667,AT5G15870
ath:AT5G15840,CO,Bra008669,AT5G15840
ath:AT5G15802,AT5G15802,Bra008673,AT5G15802
ath:AT5G15800,SEP1,Bra008674,AT5G15800
ath:AT5G15790,AT5G15790,Bra008675,AT5G15790
ath:AT5G15780,AT5G15780,Bra008676,AT5G15780
ath:AT5G15770,GNA1,Bra008677,AT5G15770
ath:AT5G15760,PSRP3/2,Bra008678,AT5G15760
ath:AT5G15730,CRLK2,Bra008680,AT5G15730
ath:AT5G15650,RGP2,Bra008683,AT5G15650
ath:AT5G15580,LNG1,Bra008689,AT5G15580
ath:AT5G15410,DND1,Bra008699,AT5G15410
ath:AT5G15390,AT5G15390,Bra008701,AT5G15390
ath:AT5G15330,SPX4,Bra008702,AT5G15330
ath:AT5G15310,MYB16,Bra008705,AT5G15310
ath:AT5G15300,AT5G15300,Bra008706,AT5G15300
ath:AT5G15290,CASP5,Bra008708,AT5G15290
ath:AT5G15260,AT5G15260,Bra008710,AT5G15260
ath:AT5G15250,FTSH6,Bra008711,AT5G15250
ath:AT5G15210,HB30,Bra008712,AT5G15210
ath:AT5G15160,BNQ2,Bra008716,AT5G15160
ath:AT5G15140,AT5G15140,Bra008718,AT5G15140
ath:AT5G15130,WRKY72,Bra008719,AT5G15130
ath:AT5G15100,PIN8,Bra008722,AT5G15100
ath:AT5G15090,VDAC3,Bra008723,AT5G15090
ath:AT5G14930,SAG101,Bra008731,AT5G14930
ath:AT5G14890,AT5G14890,Bra008732,AT5G14890
ath:AT5G14870,CNGC18,Bra008733,AT5G14870
ath:AT5G14860,AT5G14860,Bra008734,AT5G14860
ath:AT5G14800,P5CR,Bra008735,AT5G14800
ath:AT5G14790,AT5G14790,Bra008736,AT5G14790
ath:AT5G14780,FDH,Bra008737,AT5G14780
ath:AT5G14770,AT5G14770,Bra008738,AT5G14770
ath:AT5G14760,AO,Bra008739,AT5G14760
ath:AT5G14750,MYB66,Bra008740,AT5G14750
ath:AT5G14730,AT5G14730,Bra008741,AT5G14730
ath:AT5G14720,AT5G14720,Bra008742,AT5G14720
ath:AT5G14680,AT5G14680,Bra008745,AT5G14680
ath:AT5G14660,PDF1B,Bra008747,AT5G14660
ath:AT5G14650,AT5G14650,Bra008748,AT5G14650
ath:AT5G14620,DRM2,Bra008749,AT5G14620
ath:AT5G14600,AT5G14600,Bra008750,AT5G14600
ath:AT5G14550,AT5G14550,Bra008752,AT5G14550
ath:AT5G14480,AT5G14480,Bra008753,AT5G14480
ath:AT5G14460,AT5G14460,Bra008756,AT5G14460
ath:AT5G14450,AT5G14450,Bra008757,AT5G14450
ath:AT5G14410,AT5G14410,Bra008759,AT5G14410
ath:AT5G14400,CYP724A1,Bra008760,AT5G14400
ath:AT5G14390,AT5G14390,Bra008761,AT5G14390
ath:AT5G14370,AT5G14370,Bra008763,AT5G14370
ath:AT5G14340,MYB40,Bra008764,AT5G14340
ath:AT5G14330,AT5G14330,Bra008765,AT5G14330
ath:AT5G14285,AT5G14285,Bra008768,AT5G14285
ath:AT5G14230,AT5G14230,Bra008771,AT5G14230
ath:AT5G14220,HEMG2,Bra008772,AT5G14220
ath:AT5G14210,AT5G14210,Bra008773,AT5G14210
ath:AT5G14180,MPL1,Bra008774,AT5G14180
ath:AT5G14110,AT5G14110,Bra008777,AT5G14110
ath:AT5G14105,AT5G14105,Bra008778,AT5G14105
ath:AT5G14100,ABCI11,Bra008779,AT5G14100
ath:AT5G14080,AT5G14080,Bra008781,AT5G14080
ath:AT5G14050,AT5G14050,Bra008783,AT5G14050
ath:AT5G14030,AT5G14030,Bra008785,AT5G14030
ath:AT5G14010,KNU,Bra008787,AT5G14010
ath:AT5G13990,EXO70C2,Bra008789,AT5G13990
ath:AT5G13970,AT5G13970,Bra008790,AT5G13970
ath:AT5G13950,AT5G13950,Bra008791,AT5G13950
ath:AT5G13930,TT4,Bra008792,AT5G13930
ath:AT5G13890,AT5G13890,Bra008794,AT5G13890
ath:AT5G13880,AT5G13880,Bra008795,AT5G13880
ath:AT5G13850,NACA3,Bra008797,AT5G13850
ath:AT5G13830,AT5G13830,Bra008798,AT5G13830
ath:AT5G13810,AT5G13810,Bra008801,AT5G13810
ath:AT5G13750,ZIFL1,Bra008805,AT5G13750
ath:AT4G25810,XTR6,Bra008806,AT4G25810
ath:AT5G13730,SIG4,Bra008807,AT5G13730
ath:AT5G13720,AT5G13720,Bra008808,AT5G13720
ath:AT5G13680,ABO1,Bra008809,AT5G13680
ath:AT5G13650,SVR3,Bra008811,AT5G13650
ath:AT5G13640,PDAT,Bra008812,AT5G13640
ath:AT5G13610,AT5G13610,Bra008814,AT5G13610
ath:AT5G13600,AT5G13600,Bra008815,AT5G13600
ath:AT5G13590,AT5G13590,Bra008816,AT5G13590
ath:AT5G13580,ABCG6,Bra008817,AT5G13580
ath:AT5G13570,DCP2,Bra008818,AT5G13570
ath:AT5G13560,AT5G13560,Bra008819,AT5G13560
ath:AT5G13550,SULTR4,Bra008820,AT5G13550
ath:AT5G13520,AT5G13520,Bra008823,AT5G13520
ath:AT5G13510,EMB3136,Bra008824,AT5G13510
ath:AT5G13470,AT5G13470,Bra008828,AT5G13470
ath:AT5G13420,TRA2,Bra008831,AT5G13420
ath:AT5G13390,NEF1,Bra008832,AT5G13390
ath:AT5G13340,AT5G13340,Bra008834,AT5G13340
ath:AT5G13310,AT5G13310,Bra008837,AT5G13310
ath:AT5G13300,SFC,Bra008838,AT5G13300
ath:AT5G13290,CRN,Bra008839,AT5G13290
ath:AT5G13280,AK-LYS1,Bra008840,AT5G13280
ath:AT5G13270,RARE1,Bra008841,AT5G13270
ath:AT5G13260,AT5G13260,Bra008842,AT5G13260
ath:AT5G13250,AT5G13250,Bra008843,AT5G13250
ath:AT5G13240,AT5G13240,Bra008844,AT5G13240
ath:AT5G13230,AT5G13230,Bra008845,AT5G13230
ath:AT5G13220,JAZ10,Bra008846,AT5G13220
ath:AT5G13210,AT5G13210,Bra008847,AT5G13210
ath:AT5G13160,PBS1,Bra008851,AT5G13160
ath:AT5G13090,AT5G13090,Bra008857,AT5G13090
ath:AT5G13080,WRKY75,Bra008858,AT5G13080
ath:AT5G13070,AT5G13070,Bra008859,AT5G13070
ath:AT5G13060,ABAP1,Bra008860,AT5G13060
ath:AT5G13050,5-FCL,Bra008861,AT5G13050
ath:AT5G13030,AT5G13030,Bra008862,AT5G13030
ath:AT5G13020,EML3,Bra008863,AT5G13020
ath:AT5G12940,AT5G12940,Bra008870,AT5G12940
ath:AT5G12900,AT5G12900,Bra008872,AT5G12900
ath:AT5G12890,AT5G12890,Bra008873,AT5G12890
ath:AT5G12880,AT5G12880,Bra008874,AT5G12880
ath:AT5G12860,DiT1,Bra008876,AT5G12860
ath:AT5G12850,AT5G12850,Bra008877,AT5G12850
ath:AT5G12840,NF-YA1,Bra008878,AT5G12840
ath:AT5G12480,CPK7,Bra008879,AT5G12480
ath:AT5G12460,AT5G12460,Bra008881,AT5G12460
ath:AT5G12440,AT5G12440,Bra008887,AT5G12440
ath:AT5G12430,TPR16,Bra008888,AT5G12430
ath:AT5G12380,ANNAT8,Bra008892,AT5G12380
ath:AT5G12370,SEC10,Bra008893,AT5G12370
ath:AT5G12360,AT5G12360,Bra008894,AT5G12360
ath:AT5G12320,AT5G12320,Bra008899,AT5G12320
ath:AT5G12310,AT5G12310,Bra008900,AT5G12310
ath:AT5G12300,AT5G12300,Bra008901,AT5G12300
ath:AT5G12260,AT5G12260,Bra008902,AT5G12260
ath:AT5G12250,TUB6,Bra008903,AT5G12250
ath:AT5G12230,MED19A,Bra008906,AT5G12230
ath:AT5G12210,RGTB1,Bra008907,AT5G12210
ath:AT5G12200,PYD2,Bra008908,AT5G12200
ath:AT5G12180,CPK17,Bra008910,AT5G12180
ath:AT5G12150,AT5G12150,Bra008911,AT5G12150
ath:AT5G12130,PDE149,Bra008913,AT5G12130
ath:AT5G12120,AT5G12120,Bra008914,AT5G12120
ath:AT5G12110,AT5G12110,Bra008915,AT5G12110
ath:AT5G12100,AT5G12100,Bra008916,AT5G12100
ath:AT5G12000,AT5G12000,Bra008921,AT5G12000
ath:AT5G11960,AT5G11960,Bra008923,AT5G11960
ath:AT5G11930,AT5G11930,Bra008925,AT5G11930
ath:AT5G11920,cwINV6,Bra008926,AT5G11920
ath:AT5G11910,AT5G11910,Bra008927,AT5G11910
ath:AT5G11900,AT5G11900,Bra008928,AT5G11900
ath:AT5G11890,EMB3135,Bra008929,AT5G11890
ath:AT5G11880,AT5G11880,Bra008931,AT5G11880
ath:AT5G11870,AT5G11870,Bra008932,AT5G11870
ath:AT5G11820,AT5G11820,Bra008934,AT5G11820
ath:AT5G11800,KEA6,Bra008936,AT5G11800
ath:AT5G11780,AT5G11780,Bra008937,AT5G11780
ath:AT5G11730,AT5G11730,Bra008941,AT5G11730
ath:AT5G11700,AT5G11700,Bra008943,AT5G11700
ath:AT5G11660,AT5G11660,Bra008944,AT5G11660
ath:AT5G11650,AT5G11650,Bra008947,AT5G11650
ath:AT5G11640,AT5G11640,Bra008948,AT5G11640
ath:AT5G11630,NOXY2,Bra008949,AT5G11630
ath:AT5G11620,AT5G11620,Bra008950,AT5G11620
ath:AT5G11610,AT5G11610,Bra008951,AT5G11610
ath:AT5G11560,AT5G11560,Bra008953,AT5G11560
ath:AT5G11550,AT5G11550,Bra008954,AT5G11550
ath:AT5G11510,MYB3R-4,Bra008956,AT5G11510
ath:AT5G11480,AT5G11480,Bra008958,AT5G11480
ath:AT5G11460,AT5G11460,Bra008960,AT5G11460
ath:AT5G11450,PPD5,Bra008961,AT5G11450
ath:AT5G11440,CID5,Bra008962,AT5G11440
ath:AT5G11430,AT5G11430,Bra008963,AT5G11430
ath:AT5G11390,WIT1,Bra008966,AT5G11390
ath:AT5G11380,DXPS3,Bra008967,AT5G11380
ath:AT5G11350,AT5G11350,Bra008968,AT5G11350
ath:AT5G11340,AT5G11340,Bra008969,AT5G11340
ath:AT5G11330,AT5G11330,Bra008970,AT5G11330
ath:AT5G11320,YUC4,Bra008971,AT5G11320
ath:AT5G11310,AT5G11310,Bra008972,AT5G11310
ath:AT5G11300,CYC3B,Bra008973,AT5G11300
ath:AT5G11280,AT5G11280,Bra008974,AT5G11280
ath:AT5G11270,OCP3,Bra008975,AT5G11270
ath:AT5G11240,AT5G11240,Bra008979,AT5G11240
ath:AT5G11190,SHN2,Bra008985,AT5G11190
ath:AT5G11150,VAMP713,Bra008987,AT5G11150
ath:AT5G11130,AT5G11130,Bra008988,AT5G11130
ath:AT5G11090,AT5G11090,Bra008991,AT5G11090
ath:AT1G53530,AT1G53530,Bra008992,AT1G53530
ath:AT5G11040,TRS120,Bra008994,AT5G11040
ath:AT5G11030,ALF4,Bra008995,AT5G11030
ath:AT5G11020,AT5G11020,Bra008996,AT5G11020
ath:AT5G11010,AT5G11010,Bra008997,AT5G11010
ath:AT5G11000,AT5G11000,Bra008998,AT5G11000
ath:AT5G10990,AT5G10990,Bra008999,AT5G10990
ath:AT5G10970,AT5G10970,Bra009000,AT5G10970
ath:AT5G10960,AT5G10960,Bra009001,AT5G10960
ath:AT5G10940,ASG2,Bra009002,AT5G10940
ath:AT5G10930,CIPK5,Bra009003,AT5G10930
ath:AT5G10920,AT5G10920,Bra009004,AT5G10920
ath:AT5G10695,AT5G10695,Bra009013,AT5G10695
ath:AT5G10650,AT5G10650,Bra009015,AT5G10650
ath:AT5G10625,AT5G10625,Bra009017,AT5G10625
ath:AT5G10620,AT5G10620,Bra009018,AT5G10620
ath:AT5G10610,CYP81K1,Bra009019,AT5G10610
ath:AT5G10580,AT5G10580,Bra009021,AT5G10580
ath:AT5G10570,AT5G10570,Bra009022,AT5G10570
ath:AT5G10560,AT5G10560,Bra009023,AT5G10560
ath:AT5G10520,RBK1,Bra009025,AT5G10520
ath:AT5G10500,NET2C,Bra009027,AT5G10500
ath:AT5G10490,MSL2,Bra009028,AT5G10490
ath:AT5G10440,CYCD4,Bra009031,AT5G10440
ath:AT5G10430,AGP4,Bra009032,AT5G10430
ath:AT5G10410,AT5G10410,Bra009036,AT5G10410
ath:AT5G10380,RING1,Bra009037,AT5G10380
ath:AT5G10320,AT5G10320,Bra009041,AT5G10320
ath:AT5G10310,AT5G10310,Bra009042,AT5G10310
ath:AT5G10300,MES5,Bra009043,AT5G10300
ath:AT5G10270,CDKC,Bra009045,AT5G10270
ath:AT5G10250,DOT3,Bra009047,AT5G10250
ath:AT5G10230,ANNAT7,Bra009048,AT5G10230
ath:AT5G10220,ANN6,Bra009049,AT5G10220
ath:AT5G10200,AT5G10200,Bra009051,AT5G10200
ath:AT5G10140,FLC,Bra009055,AT5G10140
ath:AT5G10100,TPPI,Bra009057,AT5G10100
ath:AT5G10080,AT5G10080,Bra009059,AT5G10080
ath:AT5G10070,AT5G10070,Bra009060,AT5G10070
ath:AT5G10020,AT5G10020,Bra009064,AT5G10020
ath:AT5G10010,AT5G10010,Bra009065,AT5G10010
ath:AT5G10000,FD4,Bra009066,AT5G10000
ath:AT5G09995,AT5G09995,Bra009067,AT5G09995
ath:AT5G09990,PROPEP5,Bra009068,AT5G09990
ath:AT5G09976,AT5G09976,Bra009069,AT5G09976
ath:AT5G09970,CYP78A7,Bra009070,AT5G09970
ath:AT5G09960,AT5G09960,Bra009071,AT5G09960
ath:AT5G09930,ABCF2,Bra009072,AT5G09930
ath:AT5G09880,AT5G09880,Bra009076,AT5G09880
ath:AT5G09840,AT5G09840,Bra009079,AT5G09840
ath:AT5G09830,AT5G09830,Bra009080,AT5G09830
ath:AT5G09805,IDL3,Bra009082,AT5G09805
ath:AT5G05090,AT5G05090,Bra009087,AT5G05090
ath:AT5G05130,AT5G05130,Bra009089,AT5G05130
ath:AT5G05140,AT5G05140,Bra009090,AT5G05140
ath:AT5G05160,RUL1,Bra009091,AT5G05160
ath:AT5G05190,AT5G05190,Bra009093,AT5G05190
ath:AT4G15570,MAA3,Bra009095,AT4G15570
ath:AT5G05220,AT5G05220,Bra009096,AT5G05220
ath:AT5G05230,AT5G05230,Bra009097,AT5G05230
ath:AT5G05240,AT5G05240,Bra009098,AT5G05240
ath:AT5G05250,AT5G05250,Bra009099,AT5G05250
ath:AT5G05270,CHIL,Bra009101,AT5G05270
ath:AT5G05290,EXPA2,Bra009102,AT5G05290
ath:AT5G05310,AT5G05310,Bra009103,AT5G05310
ath:AT5G05330,AT5G05330,Bra009104,AT5G05330
ath:AT5G05350,AT5G05350,Bra009106,AT5G05350
ath:AT5G05360,AT5G05360,Bra009107,AT5G05360
ath:AT5G05365,AT5G05365,Bra009108,AT5G05365
ath:AT5G05380,PRA1.B3,Bra009110,AT5G05380
ath:AT5G05440,PYL5,Bra009113,AT5G05440
ath:AT5G05490,SYN1,Bra009115,AT5G05490
ath:AT5G05500,MOP10,Bra009116,AT5G05500
ath:AT5G05510,AT5G05510,Bra009117,AT5G05510
ath:AT5G05520,AT5G05520,Bra009118,AT5G05520
ath:AT5G05550,AT5G05550,Bra009119,AT5G05550
ath:AT5G05570,AT5G05570,Bra009120,AT5G05570
ath:AT5G05610,AL1,Bra009121,AT5G05610
ath:AT5G05630,RMV1,Bra009122,AT5G05630
ath:AT5G05660,NFXL2,Bra009123,AT5G05660
ath:AT5G05680,MOS7,Bra009125,AT5G05680
ath:AT5G05700,ATE1,Bra009127,AT5G05700
ath:AT5G05730,ASA1,Bra009130,AT5G05730
ath:AT5G05790,AT5G05790,Bra009134,AT5G05790
ath:AT5G05800,AT5G05800,Bra009135,AT5G05800
ath:AT5G05810,ATL43,Bra009136,AT5G05810
ath:AT5G05840,AT5G05840,Bra009139,AT5G05840
ath:AT5G05850,PIRL1,Bra009140,AT5G05850
ath:AT5G05860,UGT76C2,Bra009142,AT5G05860
ath:AT5G05870,UGT76C1,Bra009143,AT5G05870
ath:AT5G05880,AT5G05880,Bra009144,AT5G05880
ath:AT5G05920,DHS,Bra009150,AT5G05920
ath:AT5G05930,GC1,Bra009151,AT5G05930
ath:AT5G05940,ROPGEF5,Bra009152,AT5G05940
ath:AT5G05950,MEE60,Bra009153,AT5G05950
ath:AT5G05970,NEDD1,Bra009155,AT5G05970
ath:AT5G05980,DFB,Bra009156,AT5G05980
ath:AT5G05990,AT5G05990,Bra009157,AT5G05990
ath:AT5G06050,AT5G06050,Bra009158,AT5G06050
ath:AT5G06080,LBD33,Bra009161,AT5G06080
ath:AT5G06090,GPAT7,Bra009162,AT5G06090
ath:AT3G11510,AT3G11510,Bra009165,AT3G11510
ath:AT5G06140,SNX1,Bra009166,AT5G06140
ath:AT5G43610,SUC6,Bra009167,AT5G43610
ath:AT5G06180,AT5G06180,Bra009168,AT5G06180
ath:AT5G06240,emb2735,Bra009170,AT5G06240
ath:AT5G06260,AT5G06260,Bra009172,AT5G06260
ath:AT5G06265,AT5G06265,Bra009173,AT5G06265
ath:AT5G06270,AT5G06270,Bra009178,AT5G06270
ath:AT5G06290,2-Cys_Prx_B,Bra009181,AT5G06290
ath:AT5G06300,LOG7,Bra009182,AT5G06300
ath:AT5G06310,AtPOT1b,Bra009183,AT5G06310
ath:AT5G06320,NHL3,Bra009184,AT5G06320
ath:AT5G06340,NUDX27,Bra009186,AT5G06340
ath:AT5G06350,AT5G06350,Bra009187,AT5G06350
ath:AT5G06390,FLA17,Bra009190,AT5G06390
ath:AT5G06400,AT5G06400,Bra009191,AT5G06400
ath:AT5G06430,AT5G06430,Bra009194,AT5G06430
ath:AT5G06440,AT5G06440,Bra009195,AT5G06440
ath:AT5G06460,UBA_2,Bra009196,AT5G06460
ath:AT5G06480,AT5G06480,Bra009198,AT5G06480
ath:AT5G06510,NF-YA10,Bra009200,AT5G06510
ath:AT5G06530,ABCG22,Bra009203,AT5G06530
ath:AT5G06540,AT5G06540,Bra009204,AT5G06540
ath:AT5G06550,AT5G06550,Bra009205,AT5G06550
ath:AT5G06560,AT5G06560,Bra009206,AT5G06560
ath:AT5G06570,AT5G06570,Bra009207,AT5G06570
ath:AT5G06580,AT5G06580,Bra009208,AT5G06580
ath:AT5G06590,AT5G06590,Bra009209,AT5G06590
ath:AT5G06690,WCRKC1,Bra009217,AT5G06690
ath:AT5G06700,AT5G06700,Bra009218,AT5G06700
ath:AT5G06720,PA2,Bra009220,AT5G06720
ath:AT5G06730,AT5G06730,Bra009221,AT5G06730
ath:AT5G06740,AT5G06740,Bra009223,AT5G06740
ath:AT5G06780,EML2,Bra009226,AT5G06780
ath:AT5G06790,AT5G06790,Bra009227,AT5G06790
ath:AT5G06810,AT5G06810,Bra009230,AT5G06810
ath:AT5G06830,AT5G06830,Bra009232,AT5G06830
ath:AT5G06860,PGIP1,Bra009234,AT5G06860
ath:AT5G06930,AT5G06930,Bra009239,AT5G06930
ath:AT5G06940,AT5G06940,Bra009240,AT5G06940
ath:AT5G07710,AT5G07710,Bra009243,AT5G07710
ath:AT5G07670,AT5G07670,Bra009247,AT5G07670
ath:AT5G07620,AT5G07620,Bra009248,AT5G07620
ath:AT5G07590,AT5G07590,Bra009249,AT5G07590
ath:AT5G07580,AT5G07580,Bra009250,AT5G07580
ath:AT5G07540,GRP16,Bra009253,AT5G07540
ath:AT5G07520,GRP18,Bra009256,AT5G07520
ath:AT5G07500,PEI1,Bra009257,AT5G07500
ath:AT5G07470,PMSR3,Bra009260,AT5G07470
ath:AT5G07460,PMSR2,Bra009261,AT5G07460
ath:AT5G07450,CYCP4,Bra009262,AT5G07450
ath:AT5G07440,GDH2,Bra009263,AT5G07440
ath:AT1G69940,PPME1,Bra009265,AT1G69940
ath:AT5G07390,RBOHA,Bra009266,AT5G07390
